index,x,y
0,0.669,94.658
1,97.26,35.14
2,96.166,87.454
3,3.0,92.611
4,89.647,8.998
5,34.187,69.478
6,18.529,100.0
7,100.0,35.624
8,94.122,8.38
9,26.859,2.283
10,96.138,90.696
11,88.678,27.877
12,3.743,55.219
13,1.442,93.944
14,3.321,95.543
15,98.782,15.624
16,96.092,90.235
17,2.043,95.612
18,34.432,68.115
19,92.891,10.637
20,2.027,95.668
21,2.099,94.518
22,4.43,91.225
23,28.69,0.0
24,96.153,16.999
25,0.0,93.742
26,99.538,33.817
27,6.096,58.21
28,81.74,23.814
29,96.358,15.413
30,27.629,1.249
31,5.35,57.259
32,31.364,72.162
33,18.74,99.018
34,15.982,98.169
35,83.779,24.942
