index,x,y
0,90.568,53.144
1,4.101,66.461
2,6.352,60.108
3,16.213,54.056
4,76.212,14.034
5,5.214,65.551
6,22.685,50.882
7,18.881,49.852
8,70.701,12.863
9,70.388,16.118
10,38.127,93.359
11,72.419,7.394
12,20.188,55.689
13,5.279,70.631
14,98.894,46.059
15,39.58,90.252
16,39.879,89.905
17,7.282,64.97
18,7.106,62.307
19,38.943,88.98
20,69.042,6.766
21,15.507,60.052
22,17.858,52.588
23,38.085,88.423
24,15.714,48.163
25,69.708,6.53
26,42.064,89.262
27,38.794,94.196
28,72.163,10.028
29,4.458,65.548
30,40.972,92.86
31,97.485,54.951
32,95.367,53.369
33,14.753,52.604
34,97.042,46.793
35,73.638,10.445
36,38.61,86.146
37,6.645,62.376
38,7.425,60.383
39,15.853,49.35
40,5.052,62.04
41,71.798,12.791
42,40.502,87.137
43,95.454,44.937
44,5.327,63.942
45,4.403,66.088
46,41.094,93.327
47,17.408,41.796
48,19.752,53.33
49,39.547,90.823
50,37.258,93.91
51,6.282,62.669
52,40.611,91.998
53,6.343,57.954
54,4.05,66.036
55,75.06,11.131
56,73.136,5.455
57,14.289,55.087
58,37.893,94.026
59,43.37,94.035
60,71.884,13.524
61,97.194,52.101
62,9.003,64.928
63,39.224,87.423
64,72.623,5.489
65,70.989,15.367
66,5.991,61.326
67,39.466,90.872
68,70.353,0.0
69,97.25,55.569
70,10.605,57.567
71,14.556,59.698
72,93.78,55.931
73,15.215,53.143
74,12.956,47.323
75,13.061,52.235
76,11.478,52.304
77,5.614,59.851
78,72.472,7.377
79,3.477,64.136
80,68.457,9.575
81,13.936,48.916
82,15.282,47.744
83,14.473,59.846
84,39.3,88.193
85,74.826,12.915
86,8.054,61.415
87,6.959,63.921
88,94.706,52.7
89,15.925,58.517
90,37.944,90.599
91,39.42,78.355
92,74.206,14.305
93,43.339,84.043
94,37.499,93.083
95,16.115,56.959
96,16.567,45.064
97,11.283,47.946
98,97.561,43.158
99,18.799,47.072
100,3.246,58.14
101,40.926,95.716
102,93.789,52.095
103,95.826,51.007
104,14.285,53.316
105,69.367,7.338
106,90.925,46.55
107,94.42,48.27
108,15.556,51.037
109,11.512,56.735
110,13.605,57.854
111,73.232,12.529
112,18.261,49.281
113,41.302,85.051
114,5.755,66.695
115,18.692,49.536
116,94.123,42.341
117,39.368,85.637
118,39.447,86.495
119,2.703,69.856
120,72.672,8.256
121,15.494,46.984
122,9.04,53.377
123,42.002,97.241
124,40.771,88.722
125,18.73,52.059
126,11.052,69.711
127,13.79,53.282
128,94.75,45.384
129,21.993,40.067
130,8.653,57.61
131,68.881,7.711
132,19.123,47.243
133,39.655,92.732
134,71.759,5.864
135,11.452,48.187
136,91.702,52.07
137,11.785,59.996
138,18.059,46.106
139,5.181,64.592
140,68.666,6.007
141,23.216,51.788
142,90.073,58.7
143,41.151,94.483
144,73.17,12.342
145,42.437,89.445
146,18.37,54.737
147,11.677,54.475
148,17.315,51.197
149,69.908,8.65
150,95.765,45.373
151,97.169,41.315
152,8.047,68.375
153,94.261,54.251
154,97.205,51.184
155,72.636,17.022
156,11.556,55.863
157,17.69,52.08
158,92.024,47.996
159,14.126,57.21
160,40.349,97.46
161,70.805,15.639
162,20.102,44.201
163,20.623,48.484
164,90.12,44.585
165,94.705,52.85
166,39.424,94.724
167,72.002,4.953
168,2.367,57.454
169,94.818,51.139
170,39.598,84.355
171,18.434,49.925
172,93.974,54.261
173,14.272,48.056
174,73.66,7.373
175,3.626,57.548
176,14.93,57.989
177,36.256,93.668
178,19.019,52.619
179,17.631,46.682
180,21.556,49.083
181,69.67,8.717
182,100.0,48.942
183,20.18,45.315
184,95.792,47.45
185,19.307,49.224
186,5.444,65.365
187,95.058,48.86
188,13.272,53.574
189,90.497,50.061
190,13.872,55.582
191,18.657,48.741
192,38.801,87.305
193,17.767,51.469
194,18.477,43.678
195,8.157,53.945
196,16.828,46.984
197,6.593,61.809
198,8.94,61.559
199,37.587,94.596
200,16.609,52.546
201,42.714,97.232
202,72.101,7.809
203,76.873,13.089
204,73.584,18.466
205,41.592,98.24
206,67.576,9.449
207,11.733,57.891
208,3.068,60.476
209,4.669,66.068
210,73.652,5.144
211,17.588,45.786
212,21.668,48.094
213,44.195,89.48
214,7.253,72.137
215,1.342,67.607
216,37.593,93.18
217,16.938,46.797
218,71.366,8.329
219,41.167,93.052
220,73.554,14.481
221,13.281,61.852
222,72.289,4.563
223,13.808,53.871
224,14.883,49.802
225,15.987,44.385
226,11.925,54.547
227,11.118,59.909
228,12.012,60.441
229,92.926,58.175
230,14.242,49.536
231,13.451,57.895
232,72.858,8.921
233,5.859,66.308
234,6.713,65.992
235,3.891,59.809
236,10.402,50.171
237,14.653,52.955
238,91.975,52.536
239,19.867,56.871
240,20.036,46.105
241,14.061,61.177
242,6.221,59.35
243,42.173,93.486
244,37.608,92.915
245,96.02,47.157
246,7.792,66.457
247,38.983,88.205
248,37.614,92.018
249,41.587,86.686
250,69.813,4.429
251,22.569,48.007
252,17.455,50.352
253,75.486,17.388
254,20.868,51.219
255,14.185,57.867
256,41.356,98.121
257,12.72,60.16
258,13.64,48.604
259,38.859,86.742
260,71.142,13.326
261,40.122,95.273
262,94.803,46.969
263,40.089,94.621
264,0.0,61.238
265,19.471,46.492
266,94.033,43.502
267,72.512,9.26
268,10.099,64.407
269,14.33,55.756
270,19.258,47.314
271,42.06,93.773
272,18.752,52.902
273,21.05,46.864
274,12.321,61.98
275,38.385,96.956
276,20.051,50.698
277,17.279,49.594
278,12.73,55.991
279,35.683,89.194
280,13.112,56.01
281,70.633,13.419
282,36.336,91.714
283,19.397,45.121
284,71.635,8.68
285,38.629,91.943
286,40.486,92.291
287,92.181,49.338
288,99.065,48.43
289,12.046,54.624
290,38.65,92.393
291,91.907,48.48
292,92.867,48.938
293,70.683,12.377
294,90.616,54.333
295,22.624,39.964
296,3.515,69.399
297,4.388,56.432
298,39.515,93.515
299,38.814,88.975
300,71.981,12.002
301,69.163,8.515
302,14.089,61.961
303,94.068,50.821
304,70.647,15.618
305,95.323,55.826
306,93.679,46.624
307,69.966,2.56
308,38.753,97.704
309,74.213,9.761
310,41.966,94.307
