index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,4,22.5,1.2100000000000002,20.0,20.0
1,1,25.0,4,22.5,1.1,20.0,20.0
2,1,25.0,0,22.5,1.1,20.0,20.0
3,1,25.0,0,22.5,1.1,20.0,20.0
4,2,25.0,3,23.75,1.2100000000000002,20.0,10.0
5,1,25.0,3,23.75,1.1,20.0,10.0
6,1,25.0,2,22.5,1.1,20.0,20.0
7,1,25.0,3,23.75,1.1,20.0,10.0
8,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
9,1,25.0,0,22.5,1.1,20.0,20.0
10,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
11,1,25.0,0,22.5,1.1,20.0,20.0
12,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
13,1,25.0,0,22.5,1.1,20.0,20.0
14,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
15,1,25.0,0,22.5,1.1,20.0,20.0
16,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
17,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
18,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
19,1,25.0,1,23.75,1.1,20.0,20.0
20,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
21,1,25.0,2,22.5,1.1,20.0,20.0
22,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
23,2,25.0,2,22.5,1.2100000000000002,20.0,20.0
24,1,25.0,2,22.5,1.1,20.0,20.0
25,1,25.0,0,22.5,1.1,20.0,20.0
26,1,25.0,2,22.5,1.1,20.0,20.0
27,1,25.0,0,22.5,1.1,20.0,20.0
28,2,25.0,2,22.5,1.2100000000000002,20.0,20.0
29,1,25.0,0,22.5,1.1,20.0,20.0
30,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
31,1,25.0,2,22.5,1.1,20.0,20.0
32,1,25.0,2,22.5,1.1,20.0,20.0
33,2,25.0,2,22.5,1.2100000000000002,20.0,20.0
34,1,25.0,2,22.5,1.1,20.0,20.0
35,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
36,2,25.0,2,22.5,1.2100000000000002,20.0,20.0
37,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
38,2,25.0,2,22.5,1.2100000000000002,20.0,20.0
39,1,25.0,2,22.5,1.1,20.0,20.0
40,2,25.0,0,22.5,1.2100000000000002,20.0,20.0
41,1,25.0,2,22.5,1.1,20.0,20.0
