index,x,y
0,95.306,50.519
1,69.978,21.055
2,97.714,51.692
3,0.0,100.0
4,34.48,74.19
5,31.946,73.825
6,22.294,19.652
7,22.104,20.454
8,32.116,73.053
9,97.558,49.872
10,9.837,25.261
11,96.298,52.627
12,35.235,77.143
13,98.978,52.002
14,96.854,49.613
15,97.201,48.745
16,36.906,73.933
17,98.678,53.484
18,34.501,74.347
19,97.332,51.716
20,99.308,49.594
21,96.581,50.721
22,43.418,93.201
23,95.577,47.494
24,32.421,75.439
25,96.966,51.348
26,43.992,2.133
27,41.218,2.321
28,5.651,51.229
29,44.408,92.115
30,35.984,77.833
31,20.505,18.843
32,95.767,53.05
33,93.949,51.959
34,71.491,23.592
35,100.0,50.868
36,31.417,78.147
37,94.631,49.185
38,70.677,46.488
39,99.81,49.32
40,33.248,74.534
41,34.659,73.185
42,97.116,49.003
43,45.241,94.911
44,99.464,50.91
45,44.091,0.0
46,97.92,51.319
47,99.628,50.242
48,98.429,52.698
49,98.254,53.193
50,98.122,52.657
51,97.316,52.068
52,33.237,74.852
53,19.48,20.618
54,96.77,49.998
55,45.391,95.175
56,94.743,53.497
57,44.073,1.461
58,97.103,52.213
59,95.797,50.428
60,96.497,48.885
61,69.64,22.459
62,97.394,50.246
63,98.708,51.739
