index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,2,22.5,1.21,50.0,20.0
1,2,25.0,1,23.75,1.21,50.0,10.0
2,2,25.0,1,23.75,1.21,50.0,10.0
3,2,25.0,1,23.75,1.21,50.0,10.0
4,2,25.0,0,22.5,1.21,50.0,10.0
5,2,25.0,0,22.5,1.21,50.0,10.0
6,1,25.0,2,22.5,1.1,50.0,20.0
7,1,25.0,2,22.5,1.1,50.0,20.0
8,1,25.0,0,22.5,1.1,50.0,10.0
9,1,25.0,3,21.25,1.1,50.0,10.0
10,2,25.0,4,23.75,1.21,50.0,20.0
11,2,25.0,4,23.75,1.21,50.0,20.0
12,1,25.0,0,22.5,1.1,50.0,10.0
13,2,25.0,0,22.5,1.21,50.0,10.0
14,2,25.0,1,23.75,1.21,50.0,10.0
15,2,25.0,2,22.5,1.21,50.0,20.0
16,2,25.0,2,22.5,1.21,50.0,20.0
17,1,25.0,2,22.5,1.1,50.0,20.0
18,2,25.0,0,22.5,1.21,50.0,10.0
19,2,25.0,0,22.5,1.21,50.0,10.0
20,2,25.0,1,23.75,1.21,50.0,10.0
21,2,25.0,0,22.5,1.21,50.0,10.0
22,1,25.0,1,23.75,1.1,50.0,10.0
23,1,25.0,4,23.75,1.1,50.0,20.0
24,1,25.0,1,23.75,1.1,50.0,10.0
25,1,25.0,0,22.5,1.1,50.0,10.0
26,2,25.0,4,23.75,1.21,50.0,20.0
27,2,25.0,4,23.75,1.21,50.0,20.0
28,1,25.0,1,23.75,1.1,50.0,10.0
29,2,25.0,0,22.5,1.21,50.0,10.0
30,1,25.0,3,21.25,1.1,50.0,10.0
31,2,25.0,2,22.5,1.21,50.0,20.0
32,2,25.0,2,22.5,1.21,50.0,20.0
33,2,25.0,0,22.5,1.21,50.0,10.0
34,2,25.0,0,22.5,1.21,50.0,10.0
35,2,25.0,0,22.5,1.21,50.0,10.0
36,1,25.0,2,22.5,1.1,50.0,20.0
37,1,25.0,2,22.5,1.1,50.0,20.0
38,2,25.0,2,22.5,1.21,50.0,20.0
39,2,25.0,3,21.25,1.21,50.0,10.0
40,2,25.0,3,21.25,1.21,50.0,10.0
41,2,25.0,2,22.5,1.21,50.0,20.0
42,2,25.0,3,21.25,1.21,50.0,10.0
43,2,25.0,2,22.5,1.21,50.0,20.0
44,2,25.0,1,23.75,1.21,50.0,10.0
45,2,25.0,3,21.25,1.21,50.0,10.0
46,1,25.0,0,22.5,1.1,50.0,10.0
47,2,25.0,2,22.5,1.21,50.0,20.0
48,1,25.0,0,22.5,1.1,50.0,10.0
49,2,25.0,2,22.5,1.21,50.0,20.0
50,2,25.0,3,21.25,1.21,50.0,10.0
51,1,25.0,2,22.5,1.1,50.0,20.0
52,1,25.0,2,22.5,1.1,50.0,20.0
53,2,25.0,3,21.25,1.21,50.0,10.0
54,2,25.0,3,21.25,1.21,50.0,10.0
55,2,25.0,4,23.75,1.21,50.0,20.0
56,2,25.0,0,22.5,1.21,50.0,10.0
57,1,25.0,0,22.5,1.1,50.0,10.0
58,1,25.0,0,22.5,1.1,50.0,10.0
59,1,25.0,3,21.25,1.1,50.0,10.0
60,2,25.0,0,22.5,1.21,50.0,10.0
61,2,25.0,1,23.75,1.21,50.0,10.0
62,1,25.0,4,23.75,1.1,50.0,20.0
63,1,25.0,0,22.5,1.1,50.0,10.0
64,1,25.0,1,23.75,1.1,50.0,10.0
65,1,25.0,4,23.75,1.1,50.0,20.0
66,1,25.0,3,21.25,1.1,50.0,10.0
67,1,25.0,2,22.5,1.1,50.0,20.0
68,2,25.0,4,23.75,1.21,50.0,20.0
69,1,25.0,0,22.5,1.1,50.0,10.0
70,2,25.0,1,23.75,1.21,50.0,10.0
71,1,25.0,0,22.5,1.1,50.0,10.0
72,1,25.0,0,22.5,1.1,50.0,10.0
73,1,25.0,1,23.75,1.1,50.0,10.0
74,2,25.0,0,22.5,1.21,50.0,10.0
75,1,25.0,4,23.75,1.1,50.0,20.0
76,1,25.0,1,23.75,1.1,50.0,10.0
77,1,25.0,4,23.75,1.1,50.0,20.0
78,1,25.0,3,21.25,1.1,50.0,10.0
79,1,25.0,3,21.25,1.1,50.0,10.0
80,2,25.0,2,22.5,1.21,50.0,20.0
81,1,25.0,0,22.5,1.1,50.0,10.0
82,1,25.0,2,22.5,1.1,50.0,20.0
83,2,25.0,1,23.75,1.21,50.0,10.0
84,2,25.0,1,23.75,1.21,50.0,10.0
85,1,25.0,1,23.75,1.1,50.0,10.0
86,2,25.0,1,23.75,1.21,50.0,10.0
