index,x,y
0,97.788,26.979
1,88.484,27.159
2,95.435,41.062
3,100.0,29.772
4,90.541,29.221
5,89.486,98.352
6,99.108,25.391
7,84.874,13.654
8,4.171,8.918
9,5.989,10.085
10,87.674,98.572
11,88.152,60.672
12,96.854,45.415
13,87.255,28.536
14,41.711,21.999
15,42.924,4.088
16,92.989,44.351
17,86.907,13.739
18,45.44,8.935
19,89.436,98.434
20,87.151,62.075
21,95.205,45.554
22,93.939,46.201
23,85.607,30.769
24,3.427,10.067
25,42.68,22.391
26,92.869,42.641
27,83.574,17.653
28,82.756,15.193
29,88.363,99.622
30,87.981,17.447
31,87.639,16.246
32,96.412,28.871
33,83.865,95.923
34,90.567,25.965
35,88.051,28.226
36,78.049,3.517
37,90.881,43.279
38,73.634,4.067
39,3.792,7.533
40,77.681,4.584
41,42.078,5.633
42,39.876,6.486
43,41.826,4.649
44,97.539,45.347
45,4.11,8.769
46,94.878,44.322
47,45.985,20.044
48,87.518,97.039
49,93.752,44.713
50,40.844,5.966
51,89.399,98.67
52,78.133,5.719
53,99.215,27.903
54,98.374,30.791
55,77.331,4.49
56,43.889,21.971
57,41.211,4.004
58,84.63,14.019
59,78.443,3.923
60,73.358,4.806
61,95.05,45.432
62,88.092,26.816
63,86.549,27.86
64,4.32,7.177
65,85.897,25.139
66,88.159,28.476
67,0.158,8.128
68,44.157,21.228
69,86.471,61.25
70,43.345,1.257
71,84.082,15.032
72,83.529,28.529
73,92.427,45.887
74,43.492,23.248
75,77.377,6.398
76,46.083,21.196
77,99.78,29.327
78,4.421,7.709
79,86.812,62.919
80,2.597,8.432
81,43.566,3.594
82,86.894,15.059
83,42.793,21.777
84,42.795,23.982
85,45.334,22.872
86,90.314,60.888
87,86.213,16.098
88,84.69,14.381
89,96.18,27.379
90,43.157,6.684
91,84.749,58.845
92,84.436,62.648
93,0.0,5.183
94,86.809,100.0
95,97.041,30.487
96,87.675,96.274
97,3.51,6.897
98,87.801,99.912
99,94.693,97.872
100,90.836,95.024
101,86.741,14.14
102,86.389,26.247
103,42.263,23.526
104,77.962,3.449
105,43.648,23.236
106,77.645,4.545
107,88.942,98.387
108,90.911,98.432
109,88.724,60.073
110,79.434,3.314
111,85.411,59.991
112,86.437,61.88
113,5.861,7.99
114,90.795,63.1
115,76.478,4.978
116,85.584,63.251
117,82.84,14.644
118,42.159,6.008
119,87.345,29.326
120,8.194,9.013
121,91.847,61.083
122,96.959,30.543
123,95.273,28.498
124,43.049,24.058
125,93.939,43.572
126,96.064,29.484
127,91.762,44.173
128,81.202,0.0
129,44.465,4.251
130,83.972,25.593
131,96.184,28.745
132,44.484,6.203
133,75.239,5.03
134,1.343,7.337
135,81.75,14.077
136,41.763,21.277
137,40.944,5.697
138,86.855,62.815
139,97.738,27.432
