index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,4,22.5,1.21,50.0,10.0
1,2,25.0,1,21.25,1.21,50.0,10.0
2,2,25.0,0,21.25,1.21,50.0,10.0
3,1,25.0,1,21.25,1.1,50.0,10.0
4,1,25.0,4,22.5,1.1,50.0,10.0
5,1,25.0,3,21.25,1.1,50.0,10.0
6,1,25.0,0,21.25,1.1,50.0,10.0
7,1,25.0,4,22.5,1.1,50.0,10.0
8,2,25.0,2,23.75,1.21,50.0,20.0
9,1,25.0,2,23.75,1.1,50.0,20.0
10,1,25.0,0,21.25,1.1,50.0,10.0
11,2,25.0,4,22.5,1.21,50.0,10.0
12,2,25.0,4,22.5,1.21,50.0,10.0
13,2,25.0,0,21.25,1.21,50.0,10.0
14,2,25.0,3,21.25,1.21,50.0,10.0
15,1,25.0,4,22.5,1.1,50.0,10.0
16,2,25.0,0,21.25,1.21,50.0,10.0
17,1,25.0,1,21.25,1.1,50.0,10.0
18,1,25.0,1,21.25,1.1,50.0,10.0
19,2,25.0,0,21.25,1.21,50.0,10.0
20,1,25.0,0,21.25,1.1,50.0,10.0
21,2,25.0,0,21.25,1.21,50.0,10.0
22,1,25.0,0,21.25,1.1,50.0,10.0
23,2,25.0,0,21.25,1.21,50.0,10.0
24,2,25.0,0,21.25,1.21,50.0,10.0
25,1,25.0,0,21.25,1.1,50.0,10.0
26,1,25.0,4,22.5,1.1,50.0,10.0
27,2,25.0,4,22.5,1.21,50.0,10.0
28,1,25.0,3,21.25,1.1,50.0,10.0
29,2,25.0,1,21.25,1.21,50.0,10.0
30,2,25.0,4,22.5,1.21,50.0,10.0
31,1,25.0,1,21.25,1.1,50.0,10.0
32,2,25.0,1,21.25,1.21,50.0,10.0
33,2,25.0,0,21.25,1.21,50.0,10.0
34,2,25.0,4,22.5,1.21,50.0,10.0
35,1,25.0,0,21.25,1.1,50.0,10.0
36,2,25.0,0,21.25,1.21,50.0,10.0
37,1,25.0,4,22.5,1.1,50.0,10.0
38,1,25.0,3,21.25,1.1,50.0,10.0
39,1,25.0,1,21.25,1.1,50.0,10.0
40,1,25.0,0,21.25,1.1,50.0,10.0
41,1,25.0,4,22.5,1.1,50.0,10.0
42,1,25.0,0,21.25,1.1,50.0,10.0
43,1,25.0,1,21.25,1.1,50.0,10.0
44,2,25.0,0,21.25,1.21,50.0,10.0
45,1,25.0,1,21.25,1.1,50.0,10.0
46,1,25.0,4,22.5,1.1,50.0,10.0
47,2,25.0,4,22.5,1.21,50.0,10.0
48,2,25.0,4,22.5,1.21,50.0,10.0
49,2,25.0,0,21.25,1.21,50.0,10.0
50,1,25.0,0,21.25,1.1,50.0,10.0
51,2,25.0,0,21.25,1.21,50.0,10.0
52,1,25.0,4,22.5,1.1,50.0,10.0
53,2,25.0,3,21.25,1.21,50.0,10.0
54,2,25.0,4,22.5,1.21,50.0,10.0
55,1,25.0,1,21.25,1.1,50.0,10.0
56,1,25.0,1,21.25,1.1,50.0,10.0
57,2,25.0,0,21.25,1.21,50.0,10.0
58,1,25.0,4,22.5,1.1,50.0,10.0
59,1,25.0,4,22.5,1.1,50.0,10.0
60,2,25.0,0,21.25,1.21,50.0,10.0
61,2,25.0,4,22.5,1.21,50.0,10.0
62,1,25.0,4,22.5,1.1,50.0,10.0
63,1,25.0,0,21.25,1.1,50.0,10.0
64,1,25.0,4,22.5,1.1,50.0,10.0
65,2,25.0,4,22.5,1.21,50.0,10.0
66,2,25.0,4,22.5,1.21,50.0,10.0
67,2,25.0,0,21.25,1.21,50.0,10.0
68,2,25.0,2,23.75,1.21,50.0,20.0
69,2,25.0,4,22.5,1.21,50.0,10.0
70,1,25.0,4,22.5,1.1,50.0,10.0
71,2,25.0,0,21.25,1.21,50.0,10.0
72,2,25.0,3,21.25,1.21,50.0,10.0
73,2,25.0,1,21.25,1.21,50.0,10.0
74,1,25.0,4,22.5,1.1,50.0,10.0
75,1,25.0,0,21.25,1.1,50.0,10.0
76,2,25.0,3,21.25,1.21,50.0,10.0
77,1,25.0,0,21.25,1.1,50.0,10.0
