index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,1,25.0,0,22.5,1.1,20.0,10.0
1,1,25.0,1,22.5,1.1,20.0,20.0
2,2,25.0,4,22.5,1.21,20.0,10.0
3,2,25.0,0,22.5,1.21,20.0,10.0
4,1,25.0,2,21.25,1.1,20.0,10.0
5,2,25.0,4,22.5,1.21,20.0,10.0
6,1,25.0,3,21.25,1.1,20.0,20.0
7,1,25.0,4,22.5,1.1,20.0,10.0
8,2,25.0,3,21.25,1.21,20.0,20.0
9,2,25.0,3,21.25,1.21,20.0,20.0
10,2,25.0,4,22.5,1.21,20.0,10.0
11,1,25.0,3,21.25,1.1,20.0,20.0
12,1,25.0,0,22.5,1.1,20.0,10.0
13,1,25.0,1,22.5,1.1,20.0,20.0
14,2,25.0,0,22.5,1.21,20.0,10.0
15,2,25.0,1,22.5,1.21,20.0,20.0
16,2,25.0,0,22.5,1.21,20.0,10.0
17,2,25.0,4,22.5,1.21,20.0,10.0
18,1,25.0,0,22.5,1.1,20.0,10.0
19,2,25.0,0,22.5,1.21,20.0,10.0
20,1,25.0,0,22.5,1.1,20.0,10.0
21,2,25.0,0,22.5,1.21,20.0,10.0
22,1,25.0,1,22.5,1.1,20.0,20.0
23,2,25.0,1,22.5,1.21,20.0,20.0
24,1,25.0,4,22.5,1.1,20.0,10.0
25,2,25.0,1,22.5,1.21,20.0,20.0
26,1,25.0,3,21.25,1.1,20.0,20.0
27,2,25.0,2,21.25,1.21,20.0,10.0
28,1,25.0,2,21.25,1.1,20.0,10.0
29,2,25.0,0,22.5,1.21,20.0,10.0
30,2,25.0,0,22.5,1.21,20.0,10.0
31,2,25.0,0,22.5,1.21,20.0,10.0
32,1,25.0,2,21.25,1.1,20.0,10.0
33,1,25.0,0,22.5,1.1,20.0,10.0
34,1,25.0,4,22.5,1.1,20.0,10.0
35,2,25.0,0,22.5,1.21,20.0,10.0
36,2,25.0,4,22.5,1.21,20.0,10.0
37,1,25.0,2,21.25,1.1,20.0,10.0
38,2,25.0,2,21.25,1.21,20.0,10.0
39,1,25.0,0,22.5,1.1,20.0,10.0
40,2,25.0,3,21.25,1.21,20.0,20.0
41,2,25.0,0,22.5,1.21,20.0,10.0
42,1,25.0,0,22.5,1.1,20.0,10.0
43,2,25.0,3,21.25,1.21,20.0,20.0
44,2,25.0,4,22.5,1.21,20.0,10.0
45,2,25.0,0,22.5,1.21,20.0,10.0
46,1,25.0,3,21.25,1.1,20.0,20.0
47,1,25.0,0,22.5,1.1,20.0,10.0
48,1,25.0,3,21.25,1.1,20.0,20.0
49,2,25.0,1,22.5,1.21,20.0,20.0
50,2,25.0,0,22.5,1.21,20.0,10.0
51,1,25.0,0,22.5,1.1,20.0,10.0
52,2,25.0,0,22.5,1.21,20.0,10.0
53,1,25.0,0,22.5,1.1,20.0,10.0
54,1,25.0,1,22.5,1.1,20.0,20.0
55,1,25.0,2,21.25,1.1,20.0,10.0
56,2,25.0,4,22.5,1.21,20.0,10.0
57,1,25.0,3,21.25,1.1,20.0,20.0
58,1,25.0,0,22.5,1.1,20.0,10.0
59,2,25.0,4,22.5,1.21,20.0,10.0
60,1,25.0,3,21.25,1.1,20.0,20.0
61,2,25.0,3,21.25,1.21,20.0,20.0
62,1,25.0,3,21.25,1.1,20.0,20.0
63,2,25.0,3,21.25,1.21,20.0,20.0
64,2,25.0,0,22.5,1.21,20.0,10.0
65,2,25.0,0,22.5,1.21,20.0,10.0
66,2,25.0,1,22.5,1.21,20.0,20.0
67,2,25.0,1,22.5,1.21,20.0,20.0
68,1,25.0,3,21.25,1.1,20.0,20.0
69,1,25.0,3,21.25,1.1,20.0,20.0
70,2,25.0,3,21.25,1.21,20.0,20.0
71,2,25.0,3,21.25,1.21,20.0,20.0
72,2,25.0,0,22.5,1.21,20.0,10.0
73,1,25.0,0,22.5,1.1,20.0,10.0
