0,7,383.56,33.9
1,4,166.09,33.93
2,6,484.08,45.33
3,1,322.24,38.32
4,1,490.95,17.65
5,5,296.79,1.56
6,10,368.13,37.16
7,5,404.29,6.14
8,6,353.72,12.0
9,6,413.25,32.45


10,3,139.81,24.39
11,2,414.59,3.21
12,4,348.3,26.72
13,3,420.57,1.37
14,2,267.27,2.62
15,2,305.03,3.11
16,7,108.66,2.38
17,7,69.94,5.5
18,10,184.72,5.35
19,4,254.36,35.31


20,8,313.91,43.05
21,4,188.25,14.14
22,7,402.4,44.21
23,3,439.29,16.36
24,6,246.3,24.81
25,5,98.22,47.28
26,3,255.97,16.31
27,5,161.24,38.68
28,2,133.18,10.27
29,5,216.32,15.36


30,2,396.71,33.43
31,1,211.96,12.44
32,4,469.28,43.21
33,4,342.16,15.93
34,3,434.93,27.16
35,7,64.78,35.99
36,10,73.35,36.66
37,10,327.94,6.13
38,2,476.29,10.02
39,8,69.23,9.41


40,8,259.9,43.57
41,2,252.65,41.27
42,6,404.89,27.23
43,2,99.07,20.56
44,1,258.88,36.67
45,8,87.88,11.68
46,8,498.79,46.09
47,4,385.33,14.52
48,5,473.0,24.23
49,9,59.39,47.56


50,4,352.39,25.43
51,7,278.97,41.72
52,3,496.45,27.81
53,8,469.1,31.01
54,6,72.18,11.5
55,1,473.96,48.74
56,7,341.12,7.97
57,9,146.42,39.16
58,7,208.59,45.83
59,9,292.16,22.67


60,1,234.18,43.76
61,4,195.42,25.81
62,5,245.62,14.08
63,9,431.37,39.09
64,9,212.68,15.73
65,2,144.11,22.32
66,4,263.91,44.62
67,7,141.64,32.15
68,6,339.88,44.2
69,9,228.21,17.85


70,6,395.92,45.59
71,7,429.0,16.46
72,6,379.51,11.17
73,7,319.0,31.78
74,10,194.6,18.1
75,1,240.34,28.37
76,6,461.83,24.81
77,9,102.78,19.97
78,8,217.15,8.23
79,8,200.29,6.63


80,10,359.26,21.96
81,5,69.58,28.28
82,3,89.05,4.92
83,6,95.73,40.31
84,1,232.73,29.83
85,5,499.79,9.24
86,8,329.67,3.85
87,10,89.86,48.25
88,9,434.48,26.04
89,5,404.02,37.64


90,7,131.72,5.8
91,6,456.86,20.18
92,9,371.85,45.84
93,4,476.15,15.36
94,10,477.14,16.53
95,4,302.06,20.52
96,2,254.42,13.3
97,6,320.27,11.95
98,8,175.13,42.53
99,3,155.16,27.04


100,8,206.83,24.75
101,4,196.82,22.81
102,5,85.11,38.17
103,5,317.4,20.83
104,4,431.32,49.93
105,2,180.34,33.33
106,9,264.23,12.79
107,1,388.07,12.21
108,7,187.5,7.04
109,7,383.02,46.51


110,8,168.38,7.73
111,6,421.6,18.47
112,4,343.26,11.59
113,7,433.84,2.54
114,1,494.68,33.94
115,5,294.86,43.09
116,4,344.41,6.2
117,1,89.71,4.32
118,3,113.83,12.05
119,4,445.11,42.95


120,9,170.36,7.15
121,4,195.62,30.75
122,8,334.11,42.85
123,5,295.9,31.77
124,8,479.34,32.08
125,9,221.21,48.01
126,4,369.87,15.62
