carrier_id,client_id
0,0
0,1
0,3
0,4
0,7
0,9
0,10
0,11
0,15
0,16
0,17
0,19
0,21
0,22
0,23
0,33
0,34
0,35
0,36
0,38
0,41
0,43
0,47
0,48
0,14
0,18
0,20
0,24
0,29
0,31
0,32
0,45
0,46
0,5
0,6
0,13
0,25
0,26
0,37
0,40
0,42
0,2
0,8
0,12
0,27
0,28
0,30
0,39
0,44
1,0
1,1
1,3
1,4
1,7
1,9
1,10
1,11
1,15
1,16
1,17
1,19
1,21
1,22
1,23
1,33
1,34
1,35
1,36
1,38
1,41
1,43
1,47
1,48
1,14
1,18
1,20
1,24
1,29
1,31
1,32
1,45
1,46
2,14
2,18
2,20
2,24
2,29
2,31
2,32
2,45
2,46
2,5
2,6
2,13
2,25
2,26
2,37
2,40
2,42
3,5
3,6
3,13
3,25
3,26
3,37
3,40
3,42
3,2
3,8
3,12
3,27
3,28
3,30
3,39
3,44
4,0
4,1
4,3
4,4
4,7
4,9
4,10
4,11
4,15
4,16
4,17
4,19
4,21
4,22
4,23
4,33
4,34
4,35
4,36
4,38
4,41
4,43
4,47
4,48
4,2
4,8
4,12
4,27
4,28
4,30
4,39
4,44
