index,x,y
0,28.772,72.78
1,68.718,31.044
2,49.279,99.427
3,51.64,58.428
4,37.423,67.408
5,34.162,0.0
6,7.16,62.922
7,64.653,35.475
8,0.0,13.692
9,100.0,50.091
10,7.171,74.217
11,7.006,18.834
12,2.013,90.706
13,44.443,9.391
14,85.352,100.0
15,73.409,19.819
16,56.699,61.864
17,27.473,83.545
18,13.587,95.778
19,94.466,34.507
20,18.613,3.719
21,23.518,97.634
22,59.812,1.764
23,67.28,19.443
24,23.039,41.443
25,96.073,25.984
26,33.422,71.162
27,25.666,94.245
28,20.198,97.545
29,33.78,79.964
30,7.781,38.174
31,86.551,51.436
32,48.717,4.418
33,85.337,97.859
34,32.38,73.421
35,67.897,18.718
36,38.452,60.233
37,35.029,60.253
38,75.074,23.08
39,44.635,56.809
